Username,Comment
Markeso Farm ,"prediksi sya gibran di diskualifikasi,tapi prabowo tetap di lantik tanpa wakil"
ANDY TORAJA ,"tapi sy heran knp tdk dari awal di persoalkan pd hal prabowo gibran pling lmbt mndaftar ke kpu .
smata mata ada apa bgtu"
Juan Felix Michael ,jelas2.... pemungutan ulang dan 02 didiskualifikasi
818anakrantau ,"trus apa fungsi dkpp ketika ada pelanggaran tpi tidak memberi sanksi tegas
apa hanya sebatas teguran 🙏"
Fery Khadafy ,"ayo pemilu ulang tanpa Gibran...
aku pilih Prabowo"
Hadjie ,kalah emang sesakit itu ya😂
🤗 ,"ketika 01 & 03 ngajuin
Jalur KPU : KALAH
Jalur MK : KALAH
Apakah akan ke
Jalur MUDIK : ......?"
Edy Saputra ,"Mungkinkah sidang mk ini hanya formalitas ,ujung2nya tetap sama saja"
ArayamirShop ,"Yakin Pemilu ulang, KPU sdh jadwalkan bulan Juni utk pemilu ulang"
🪷🪷M yahuu🪷💯💯♥️♥️♥️♥️ ,lebih baik pilihan ulang itu bagus
dariusrewa0 ,"ia, THN 2029😂"
Faizi ,02 Nyungsep
KAJOLE ,mungkin gw pilih pak wowo kalo wakilnya bukan dia. 2x gw pilih pak wowo loh
mjmack ,fix 02 diskualifikasi
MasWiyadi💧 ,"etiknya tdk berkaitan hukumnya 🤔🤔🤔
terus pelanggaran etik itu, yg dilanggar apa yahh...😬😬😬"
Ghayul store 97 ,melanggar etik itu bukn brrty mlnggar hukum
Arif & Zayn ,"seandai nya pemilu ulang ,pendukung 02 akan memilih siapa nanti nya? atau malah tidak memilih ?"
Utaraselatan ,ku kira orang cerdas bisa menalar maksud MK diatas
edeilweiskesumawijaya ,artinya jelas ada pelanggaran etik yg dilakukan kpu yg seharsnya kpu menolak pendaftran cawapres yg tdk memenuhi syart
Muhammad Majreha ,muter2 si dkpp🤣
SagitariusBoys ♐ ,DKPP yg penting cuan boss 🤪
Hukum mati Koruptor ,02 dikualifikasi sudah jelas
Angga Orin Naza ,"MK HARUS MEMULIHKAN NAMA BAIKNYA!!!
AYO MK BUKTIKAN!!!"
xan xan ,semoga bisa legowo dan sadar saat Prabowo gibran dilantik
Kang Ghosting ,PEMILU ULANG & 02 DI DISKUALIFIKASI 🙏
ghost_mistiz ,woii ....presiden dibawah 40 thn di luar negeri banyak
🐝 ,02 didiskualifikasi
Koran_Aceh ,"Jangan berbelit - belit dkpp, mengapa peringatan terakhir sampai tiga kali"
zaen ,Muter muter puter terus sampe sah hehehe
MasBud325 ,Semua sdh satu paket...KPU..DKPP...BAWASLU...dan MK periode si paman..
Badar@umam ,positif gibran nga ikut pemilihan ualng
Camelia S ,jelas aja enggak bisa d batalkan krn anak presiden
AN.YUN ,02.keok
maisarahmarii ,diskualifikasi 02 🤣🤣
YansEtalase ,harus pemilu ulang tanpa 02
user533179692921 ,Klo pemilu di ulang saya sklrga pilih prabowo sumpah asal bukan Gibran cawapresnya
Ndys ap ,"DKPP sdah sesuai tupoksinya..
siapa yg melanggar putusan MK maka mereka melanggar UUD.."
yaniyami12 ,saya ga dapet bansos tapi saya pilih 02
BG DEX ,Semua takut karena surat presiden ke KPU tentang menyetujui pencalonan anaknya sebagai wapres...
Jhonijaya9 ,"Kalo Pemilihan Ulang Kita Buktikan meskipun Prabowo tanpa Gibran, Pasti tetap menang.."
not mee ,DKKP takut juga mediskualifikasi gibran makanya keterangnya bgtu.
anam ,pinter malah sebaliknya😏😅
Mana Suara Hatimu ,kyk ngomong sama teman az bukan dlm persidangan.
Fitriphotocopy ,kenapa tidak dri awal🙄🙄
nyiiii ,kenapa nggak d periksa juga pak pencalonan Gibran
lisa😍 ,udah jlas 02 di diskualifikasi
Ijeum89 ,Ya Allah permudahlah semua perjuangan agar indonesia lebih baik 🤲
A.Diansyah ,putusan MK aja bisa meski Ketua MK sebelumnya di berhentikan. pasti bisa dg turunan turunan dan putusan putusan
user8818134967206 ,pak mk YANG jujur selamat dunia aherod amin
ARI-SUMENEP ,tunggu saja tgl 20 pengumumannya kan kita cuma rakyat kecil mengikuti apa kata pemimpin
gindo ,semoga MK masih mencintai rakyat dan bangsa Indonesia 🤲🤲🤲
Rachma Trisia ,takuuttt.. krn anak presiden 😂😂😂
SISWAHYUDI ,pemilu ulang tanpa 02
Anwar Husein ,berpihak berarti
warnoputro115 ,😅😅😅😅dagelan.....
inem_ngejrenx ,trus DKPP hanya pemantau etik KPU nya aja? kelanjutannya apa actionnya? Fungsinya lembaga ini apa?
HD@27071977 ,DKPP tau gak tugasnya
Masniati ,yg jelas. pemilu d ulang lg
Bunga ,Semoga ada ke adilan
cintamu ,😂😆🤣🤭 hadeeew 🤦🏻‍♀️
muliautamasiregar ,bulet terus jawabannya🤣🤣
Antoeaditia ,01 03 pemilu ulang tanpa 02👍👍
ranger biru 💢 ,dkpp pihak 02
EDANE 501 ,feling gw ....pemilu ulang presiden 😁😁😁
INDAR ,pemilu ulang dr awal semua ....
HMJ ,sepertinya akan dilantik PRABOWO tanpa Gibran
manikmaya79 ,Saatnya MK ambil Keputusan Selamatkan KONSTITUSI dan DEMOKRASI di NKRI
Ipung.s. ,"Karena
Uang
Hancur
Perkara"
Masyarakat Kecil Peduli NKRI ,Didiskualifikasi 02 😎
BangHar ,dagelan semua
sammahsam9@gmail.com ,saya pendukung Anis..kalau pilih ulang Tampa Gibran...
Bunga sari ,Amplop berkuasa. Sidang hanya Sinetroon.
──═हই❂͜͡🇮🇩L Sonhi ✯͜͡❂ইह═ا ,Kembalikan ke dasar Negara Pancasila dan UUD 45 👍
who I'am ,terus dkpp fungsinya apa..
mulyadi syahputra ,"gibran bisa saja di dis
prBowo tanpa wakil di lantik"
rumahproduktif2 ,masalah disini sdh jelas ya sebenarnya
fahmisukahar ,gak bisa menjelaskan krn takut sama joko
shvjbvbhg ,fix diskualifikasi 02 wassalam
Deva ,semua akarny samsul ya 😀
sahid ,saya perhatikan komen komen ya lebih cerdas dari pada petugas.. rakyat sudah cerdas.
pak usu ,alhamdulilah dgn izin ALLAH udh terbukti pemungutan ulang
Mais Lubis ,diskualifikasi 02 dalam pemilu 2024.
workshopakrilikparigi ,berawal dr keputusan paman 🤣🤣🤣
Tri Yono ,mulai menunjukan kebenaran
S.A CHANNEL ,DKPP keliatan masih was2 memberikan alasan2 konkrit ...dan ini sangat membuka tafsiran hukum MK..
#KUCIANG GAROENG# ,sangsi gk da 😳😳
trihardono37 ,"DKPP, KPU, Bawaslu pro djokowee"
ihsan ,02 akan keok
BTS ,"kalo bener MK memihak dh fix, dagelan 02..😏"
@rkashop ,DKPP tak kirain dewan kemenangan pemilihan prabowo🤔🤔
Bie_fm ,sumber pelanggaran nya dr MK ya harus di benerin di MK juga..
user6100543574196 ,berarti penvalonan gibran mall administrasi
Khumiyatul ,dkpp takut bossnya
Soundrenaline Rumi ,apapun alasanya aturan tetep aturan yang wajib di taati oleh siapapun . itu intinya
keluarga CEMARA ,dlm hatinya ok gas ok gas...tidurr lagi aaah .
Anandasyah ,risalah sidang ngga di publis? 😁
santoso ,dkpp (duit komisi piro pak)
mas yoyo ,02 di diakualifikasi
lubs ,klau bgini gue yakin 02 di dis
Rajanta Pabrian ,isinya 01 dan 03...hahahaa
Agam.bjgr ,kenapa ngk di permasalahkan sebelum pilpres ya.
nurmaita5712 ,banyak komenan anak Abah disini😂
maktek carlu ,smoga mk bisa berlaku adil dan jujur trhadap keptusan yg mau di ambil dan tdk dlm pngaruh intervensi dr pihak manapun
telihan's ,"JIKA DLM PELANGGARAN ETIKA TERSEBUT TERNYATA MENIMBULKAN KERUGIAN, MAKA YG MERASA DIRUGIKAN BERHAK MELAKUKAN TUNTUTAN KE MK"
BURHAN ,BANGGA SAYA SAMA KETUA SUHARTOYO
BAYO SUTI SIGORAON ,"semua melanggar etik, tp kt harus maju terus itu intinya..hahahaaaakkk..."
Nur Hayati ,smg yg haq itu haq yg bathil itu bathil agar berdiri tegak di bumi indonesia
mulyadi syahputra ,pemilihan ulang mencari wakil pak prabowo saja
eka ,"Hebatnya pak jokowi dengan diskresi kekuasaan suksesi pada keluarga yg sukses,,,"
aries. ,yg jelas alasan udah dpet tebel
Khairul Amri ,kan ketua mk nya paman dia bang gimana sih mikir aja sendiri
Anjar Kurniawan592 ,bismillah semoga dapat keputusan yg baik
nenenggggg ,negara kita itu negara hukum apa negara etik
Ai Gaming Project ,yg meloloskan gibran bermula dari MK ndk mungkin MK bakal membatalkan pencalonan gibran
Rincahyani ,"ya Allah, terangilah lembaga peradilan ini dg netralitas yg benar2 netral dan logis"
thv2 ,"berubah rubah ihhh, ini kalau a ga bisa ganti b ganti lg c dst. kapan beresnya 🤣"
F ,Kesimpulannya ini udh sahh😂
BODREXIN ,muter2 bro
Romly 234/reza ,"tugas dkpp apa jadinya,nonton aj,periksa etik dan hukumnya juga lah..."
tukangai ,Fungsi DKPP apa
Popon ,Diskualifikasi 02
Dewi awan ,sebener nya ketua KPU nya juga ragu ke absahan pencalonan Gobran
Hasrul Andestapa ,tetap 02 menang
Noer Noer ,sudah jelaskan Prabowo tetap presiden Indonesia 🤣🤣🤣🤣🤣🤣🤣
Camelia S ,"enggak tau, knp tanya saya, hahahahaha"
A&A ,"Tidak ada pelanggaran *hukum* pencalonan Prabowo - Gibran. Fakta hukum itu terang, bukan asumsi."
lani ,"berarti ada celah dlm hukum di indonesia, baru ketahuan setelah di bobol"
user364712975329 ,ayo pk prabowo jdi capres pk jokowi wakilnya😁
Putri Arinda Shop ,DISKUALIFIKASI 02 titiiiik.
DewiSlim💃🏻 ,aaa kasian gibran tetap cawapres dan akhirnya menang ✌️
Zulfi Ahkam ,DKPP rasa timses😂😂
E=mc² ,yossshh mantap gibran 😘
conanaja240 ,ternyata gampang juga ya kerjanya DKPP.. ...gajinya berapa sih ?
Dayat ,"lapor kepaman Usman,terlalu banyak laporan tapi tidak direspon"
Imam Safi'i ,trus siapa yg bisa menentukan sah dan tidak nya. klo ada pelanggaran
pejuang rupiah ,02 diskualifikasi 😇
Vladimir Zuhri CBR ,sidang dagelan 😂😂😂
slametwahono6 ,smua cari amannn....
Sonic ,pemungutan ulang...🥺🥺🥺
pakpikpuk ,lucuu bapak ini..😂😂
ana isema ,tugasnya melindungi
w@l@ng_sungs@ng_99 ,yakin MK masih bisa netral😂.
raff_id ,dagelan memang
wijaya ,tanpa gibran prabowo 90%
ACEH MULIA 1 ,amplop tebal semua Masalah selesai
Oki ,pak Suhartoyo..pertanyaan luar biasa..mantap hebat
Tonang.Rg2 ,segera diskualifikasi kan 02
eitoendRa ,"pelanggaran etik ada ...tp eriknya apa ,sah dan tidaknya reneng remeng"
Pete oseng ,takut krna ank presiden
bambang66377377 ,"prabowo oke, gibran no, ok gas ok gas"
jiwabebas ,gak ada yg komen ayo gas ayo gas all in..
racka ,dulu minta perpanjang jabatan agar Gibran mencapai batas usia minimal....krn gak berhasil diterobos aturan k MK agar batasan umur bisa terakomodir
randiavg ,muter muter ngomongnya
amorgan ,"terangkanlaaahh,,"
hikmahbanna5 ,Ya Allah smoga hakim2 MK dpt mngambil keputusan yg benar n adil n tdk takut dg intimidasi atau iming2 dlm bntuk apapun.🤲
Toman Siahaan ,etika kan tdk berdiri sendiri
user2261255883847 ,Takut sama pak lurah
feri hendra kusuma irawan ,"nah DKPP udah bener,, problemnya di administrasi KPU yg menjadi perdebatan"
bayu herlambang ,"semoga ini bkan panggung sandiwara,dan semoga hakim mk benar² menegakkan keadilan.."
Rang Pitopang ,Amplop yg bicara
Berry ,karna gara gara si budi kan😁
Juan Felix Michael ,siip....
ferdinandbanoet ,"pertanyaannya ; knpa tidak sedari awal dipersoalkan. dlu pda koar2 menerima keputusan MK 90, giliran pada kalah baru menggugat. lucu pada manusia 🤦🤦"
Kang Photo ,"DKPP tugas nya, selain memberi teguran, teguran sedang, teguran keras, dan teguran paling keras 😂"
Usep Takdimuloh ,mening putaran kedua
Semar Misem ,hakim harus mempunyai keputusan yg adil tidak boleh semina2 karna demi uang ingat bagi para hakim anda sangt besar pertanggung jawaban d hadapan Allah
happysuccessfull ,Kelihatannya akan terjadi People Power bila MK memutuskan Paslon 02 tetap sah sebagai pemenang.
Rey Buchek ,Selamatkan demokrasi di negeriku
Maria ,DIS 02
Juan Felix Michael ,ente ya ☺️🤣
MAS ALI ,ini baru hakim mk🥰
Uci' Susilawaty ,"kira"" klu 02 kalah dipermasalahkan ndak y...🤔"
PokeMe ,🤣🤣 settingan?
kartika ,yang melanggar MK tpi yg mengadili juga MK.
🇮🇩 SUKMA AZIZ F_P 🇵🇸 ,"brry ttp sah bos,"
UA ,insya Allah kebenaran akan menang
sofian 95 ,prodak president GK bole melawan
4nkri33zz68 ,apapun dh d beli...
Aryaaja ,"semoga ketua MK bijak mengambil keputusan adil,demi negri ini ,demi rakyat Indonesia"
tegucigalpha ,tahu kan😅😅
mas weecan ,anak abah menghibur diri... 😅😂
basino bawor ,kan dugaan
sriwidodowidodo94 ,hasil MK d MK lucu
Asriel ,Pak Mk pemilu ulang tanpa nol 2
Tar Jo ,tagar diskualifikasi 02
Neng Sarah ,"MK cuma pura pura,02 tetap menang 🤣🤣"
Jhony Pelangi ,anak presiden gitu punya power untuk mengendalikan kpu
Jackal Al Kahf ,02 diskualifikasi
Nanno Nora Clara ,diskualifikasi 02
Yudiarto Yuyud ,"apa kalian orang""pintar bisa x di kalah kan dengan seorang tukang mebel berasal dari solo"
Fawwaz azzainul ,intinya harus pemilu ulang Tanpa Gibran
nurkholis4385 ,"pemilu ulang tampa gibran, saya pilih prabowo"
no name ,"ada capres yg lewat umur dan cawapres yg kurang umur, jika pemilu ulang apakah boleh dipilih?"
AlnaMedia ,DKPP tdk punya kewenangan dlm putusan KPU secara hukum. Jd smua akn kembali d putuskn oleh MK sbg mahkamah tertinggi sbg bdn hukum konstitusi.
user9706633963336 ,berarti para oemegang hukum menghendaki rakyat Indonesia mencari dan menegakan hukum dan demokrasi
